dfo_centroid_y,dfo_main_cause,dfo_centroid_x,slope_threshold,dfo_severity,threshold_b1b2,dfo_displaced,began,dfo_validation_type,dfo_country,dfo_dead,gfd_country_code,ended,threshold_type,threshold_b7,began_y,began_m,began_d,ended_y,ended_m,ended_d,path,range
1.698541,Heavy Rain,100.378,5,1,1.116,500,2011/11/27,News,Indonesia,0,ID,2011/11/30,1,773.73,2011,11,27,2011,11,30,/Indonesia/DFO_3878_From_20111127_to_20111130/DFO_3878_From_20111127_to_20111130.tif,"(95.0058244484806 5.910914569506452,95.0058244484806 -5.946847180871232,104.67169690560665 -5.946847180871232,104.67169690560665 5.910914569506452,95.0058244484806 5.910914569506452)"
-7.482774,Torrential Rain,112.50974,5,1.5,1.331,3000,2012/1/27,News,Indonesia,6,ID,2012/1/29,1,728.11,2012,1,27,2012,1,29,/Indonesia/DFO_3895_From_20120127_to_20120129/DFO_3895_From_20120127_to_20120129.tif,"(105.09839666556343 -5.711039418789858,105.09839666556343 -8.850651336787585,115.90962110994187 -8.850651336787585,115.90962110994187 -5.711039418789858,105.09839666556343 -5.711039418789858)"
-3.867021,Heavy Rain,121.883077,5,1,0.7,1000,2013/1/3,News,Indonesia,8,ID,2013/1/10,0,675,2013,1,3,2013,1,10,/Indonesia/DFO_4013_From_20130103_to_20130110/DFO_4013_From_20130103_to_20130110.tif,"(118.75278898418014 4.552212702275676,118.75278898418014 -6.501556868815038,126.91398334040599 -6.501556868815038,126.91398334040599 4.552212702275676,118.75278898418014 4.552212702275676)"
-3.279537,Heavy rain,120.198324,5,1,0.7,2000,2007/7/25,News,Indonesia,15,ID,2007/8/2,0,675,2007,7,25,2007,8,2,/Indonesia/DFO_3141_From_20070725_to_20070802/DFO_3141_From_20070725_to_20070802.tif,"(118.75278898418014 4.552212702275676,118.75278898418014 -6.501556868815038,126.91398334040599 -6.501556868815038,126.91398334040599 4.552212702275676,118.75278898418014 4.552212702275676)"
-6.55868,Torrential Rain,108.399177,5,1,0.7,4000,2015/3/15,News,Indonesia,0,ID,2015/3/23,0,675,2015,3,15,2015,3,23,/Indonesia/DFO_4231_From_20150315_to_20150323/DFO_4231_From_20150315_to_20150323.tif,"(105.09839666556343 -5.711039418789858,105.09839666556343 -8.850651336787585,115.90962110994187 -8.850651336787585,115.90962110994187 -5.711039418789858,105.09839666556343 -5.711039418789858)"
-7.54216,Heavy rain,111.332593,5,1.5,0.7,50000,2007/12/25,News,Indonesia,153,ID,2008/1/3,0,675,2007,12,25,2008,1,3,/Indonesia/DFO_3249_From_20071225_to_20080103/DFO_3249_From_20071225_to_20080103.tif,"(105.09839666556343 -5.711039418789858,105.09839666556343 -8.850651336787585,115.90962110994187 -8.850651336787585,115.90962110994187 -5.711039418789858,105.09839666556343 -5.711039418789858)"
-0.527894,Heavy rain,116.827676,5,1,0.7,10000,2004/5/7,News,Indonesia,0,ID MY BX,2004/5/11,0,675,2004,5,7,2004,5,11,/Indonesia/DFO_2480_From_20040507_to_20040511/DFO_2480_From_20040507_to_20040511.tif,"(111.38660365440008 7.368431117990375,111.38660365440008 -6.501556868815038,126.913983340406 -6.501556868815038,126.913983340406 7.368431117990375,111.38660365440008 7.368431117990375)"
-7.379525,Torrential Rain,110.236252,5,1,1.133,54,2011/12/18,News,Indonesia,10,ID,2012/1/4,1,600.15,2011,12,18,2012,1,4,/Indonesia/DFO_3888_From_20111218_to_20120104/DFO_3888_From_20111218_to_20120104.tif,"(105.09839666556343 -5.711039418789858,105.09839666556343 -8.850651336787585,115.90962110994187 -8.850651336787585,115.90962110994187 -5.711039418789858,105.09839666556343 -5.711039418789858)"
-3.903543,Heavy rain,104.432036,5,1,1.228,0,2005/1/11,News,Indonesia,9,ID,2005/2/10,1,663,2005,1,11,2005,2,10,/Indonesia/DFO_2612_From_20050111_to_20050210/DFO_2612_From_20050111_to_20050210.tif,"(102.06882836987033 -1.0106046946344618,102.06882836987033 -6.171426001901113,106.10226399556699 -6.171426001901113,106.10226399556699 -1.0106046946344618,102.06882836987033 -1.0106046946344618)"
-1.223516,Torrential Rain,132.810984,5,1.5,0.7,0,2010/10/2,News,Indonesia,84,ID PP AS,2010/10/6,0,675,2010,10,2,2010,10,6,/Indonesia/DFO_3726_From_20101002_to_20101006/DFO_3726_From_20101002_to_20101006.tif,"(130.38597191352795 -0.3391140197551194,130.38597191352795 -9.430064695044678,143.456459297467 -9.430064695044678,143.456459297467 -0.3391140197551194,130.38597191352795 -0.3391140197551194)"
